,station_code,station_actual,station_new,Zone,State,Name,Longitude,Latitude
0,FPS,Fatehpur Skhwti,Fatehpur Skhwti Rajasthan,North Western Railway,Rajasthan,"Fatehpur, Rajasthan 332301, India",74.9618826,27.9941409
0,UA,Upleta,Upleta Gujarat,Western Railway,Gujarat,"Upleta, Gujarat, India",70.2795033,21.7395387
0,ALK,ALAKKUDI,ALAKKUDI Tamil Nadu,Southern Railway,Tamil Nadu,"Alakkudi, Tamil Nadu, India",79.7680243,11.3743168
0,YA,Yerraguntla,Yerraguntla Andhra Pradesh,South Central Railway,Andhra Pradesh,"Yerraguntla, Andhra Pradesh, India",78.5406992,14.6375051
0,STJT,Sathajagat,Sathajagat Bihar,East Central Railway,Bihar,"Sathajagat, Gobindpur Part, Bihar 851111, India",85.8680114,25.6310389
0,MEW,MARHAURA,MARHAURA Bihar,North Eastern Railway,Bihar,"shilowri, Bihar 841418, India",84.8763365,25.9701764
0,DHO,Dhaulpur,Dhaulpur Rajasthan,North Central Railway,Rajasthan,"Dholpur, Rajasthan, India",77.8907576,26.6965521
0,JYP,Jeypore,Jeypore Odisha,East Coast Railway,Odisha,"Jeypore, Odisha, India",82.5710028,18.8581482
0,SGS,Shoghi,Shoghi Himachal Pradesh,Northern Railway,Himachal Pradesh,"Shoghi, Himachal Pradesh, India",77.1197521,31.0421269
0,GHH,Garhi Harsaru,Garhi Harsaru Haryana,Northern Railway,Haryana,"Garhi Harsaru, Gurugram, Haryana 122505, India",76.9326167,28.4496908
0,DBW,Dubia,Dubia Assam,North Frontier Railway,Assam,"Dobhai, Assam 783336, India",90.047823,26.4415112
0,MRE,Manauri,Manauri Uttar Pradesh,North Central Railway,Uttar Pradesh,"Manauri, Uttar Pradesh, India",81.6651457,25.4716959
0,KOP,C SHAHUMHARAJ T,C SHAHUMHARAJ T Maharashtra,Central Railway,Maharashtra,"Maharashtra, India",75.7138884,19.7514798
0,DKT,Dhulkot,Dhulkot Haryana,Northern Railway,Haryana,"Dhulkot, Haryana, India",76.8821849,30.3557273
0,LBZ,Lalbagh,Lalbagh Jharkhand,East Central Railway,Jharkhand,"Jharkhand, India",85.2722472,23.6913486
0,MGLE,MANIGRAM,MANIGRAM West Bengal,Eastern Railway,West Bengal,"Manigram, West Bengal 742237, India",88.1144943,24.3521967
0,BGM,Belagavi,Belagavi Karnataka,South Western Railway,Karnataka,"Belagavi, Karnataka, India",74.4976741,15.8496953
